RISK_RATED_AREA_B,NCD_GRANTED_YEARS_B,RISK_RATED_AREA_C,SUM_INSURED_CONTENTS,NCD_GRANTED_YEARS_C,SPEC_SUM_INSURED,SPEC_ITEM_PREM,UNSPEC_HRP_PREM,BEDROOMS,ROOF_CONSTRUCTION,WALL_CONSTRUCTION,LISTED,MAX_DAYS_UNOCC,OWNERSHIP_TYPE,PAYING_GUESTS,PROP_TYPE,YEARBUILT,MTA_FAP,MTA_APRP,LAST_ANN_PREM_GROSS,Gen_CLAIM3YEARS,Gen_BUS_USE,Gen_AD_BUILDINGS,Gen_AD_CONTENTS,Gen_CONTENTS_COVER,Gen_BUILDINGS_COVER,Gen_P1_POLICY_REFUSED,Gen_P1_SEX,Gen_APPR_ALARM,Gen_APPR_LOCKS,Gen_FLOODING,Gen_NEIGH_WATCH,Gen_SAFE_INSTALLED,Gen_SEC_DISC_REQ,Gen_SUBSIDENCE,Gen_LEGAL_ADDON_PRE_REN,Gen_LEGAL_ADDON_POST_REN,Gen_HOME_EM_ADDON_PRE_REN,Gen_HOME_EM_ADDON_POST_REN,Gen_GARDEN_ADDON_PRE_REN,Gen_GARDEN_ADDON_POST_REN,Gen_KEYCARE_ADDON_PRE_REN,Gen_KEYCARE_ADDON_POST_REN,Gen_HP1_ADDON_PRE_REN,Gen_HP1_ADDON_POST_REN,Gen_HP2_ADDON_PRE_REN,Gen_HP2_ADDON_POST_REN,Gen_HP3_ADDON_PRE_REN,Gen_HP3_ADDON_POST_REN,Gen_MTA_FLAG,P1_EMP_STATUS_A,P1_EMP_STATUS_C,P1_EMP_STATUS_E,P1_EMP_STATUS_F,P1_EMP_STATUS_H,P1_EMP_STATUS_I,P1_EMP_STATUS_N,P1_EMP_STATUS_R,P1_EMP_STATUS_S,P1_EMP_STATUS_U,P1_EMP_STATUS_V,P1_MAR_STATUS_A,P1_MAR_STATUS_B,P1_MAR_STATUS_C,P1_MAR_STATUS_D,P1_MAR_STATUS_M,P1_MAR_STATUS_N,P1_MAR_STATUS_O,P1_MAR_STATUS_P,P1_MAR_STATUS_S,P1_MAR_STATUS_W,OCC_STATUS_HH,OCC_STATUS_LP,OCC_STATUS_OT,OCC_STATUS_PH,OCC_STATUS_UN,OCC_STATUS_WD,OCC_STATUS_WE,PAYMENT_METHOD_DD-Other,PAYMENT_METHOD_NonDD,PAYMENT_METHOD_PureDD,POL_STATUS_Cancelled,POL_STATUS_Lapsed,POL_STATUS_Live,POL_STATUS_Unknown
19,7,6,50000,7,7500,44.42,12.45,3,11,15,3,0,8,0,10,1960,51.45,0,274.81,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
25,6,9,50000,7,0,0,24.6,3,11,15,3,0,3,0,2,1960,308.83,-9.27,308.83,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,12,50000,7,0,0,0,2,11,15,3,0,8,0,9,1946,52.65,52.65,52.65,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,14,50000,7,0,0,0,2,11,15,3,0,18,0,19,1870,51.45,0,54.23,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5,7,10,50000,7,0,0,19.82,3,11,15,3,0,8,0,1,1960,51.45,0,244.58,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0,0,8,50000,7,0,0,0,1,11,15,3,0,18,0,7,1960,51.45,0,51.45,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1,7,6,50000,7,0,0,0,2,11,15,3,0,8,0,9,1980,109.32,109.32,109.32,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,6,50000,7,0,0,0,2,11,15,3,0,12,0,7,1990,51.45,0,54.53,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,3,0,50000,3,0,0,0,3,11,15,3,0,8,0,19,1960,242.16,0,242.16,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
5,7,1,50000,7,0,0,0,3,11,15,3,0,8,0,10,1946,51.45,0,188.31,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
